en;nl;fr;de;sv;pl;it;no;es
is conflicting with the new requirements.;is in strijd met de nieuwe vereisten.;est en conflit avec les nouvelles exigences.;steht im Widerspruch zu den neuen Anforderungen.;strider mot de nya kraven.;jest w konflikcie z nowymi wymaganiami.;è in conflitto con i nuovi requisiti.;er i konflikt med de nye kravene.;está en conflicto con los nuevos requisitos.
Update configuration;Configuratie bijwerken;Mettre à jour la configuration;Konfiguration aktualisieren;Uppdatera konfiguration;Zaktualizuj konfigurację;Aggiorna configurazione;Oppdater konfigurasjon;Actualizar configuración
changed to;gewijzigd in;changé en;geändert zu;ändrad till;zmieniono na;cambiato in;endret til;cambiado a
Back to configuration model;Terug naar configuratiemodel;Retour au modèle de configuration;Zurück zum Konfigurationsmodell;Tillbaka till konfigurationsmodell;Powrót do modelu konfiguracji;Torna al modello di configurazione;Tilbake til konfigurasjonsmodell;Volver al modelo de configuración
Configuration is no longer possible;Configuratie is niet langer mogelijk;La configuration n'est plus possible;Konfiguration ist nicht mehr möglich;Konfigurationen är inte längre möjlig;Konfiguracja nie jest dłużej możliwa;Configurazione non più possibile;Konfigurasjon er ikke lenger mulig;La configuración ya no es posible
The following will be added;Het volgende wordt toegevoegd;Les éléments suivants seront ajoutés;Folgendes wird hinzugefügt:;Följande ska läggas till;Zostaną dodane następujące elementy;Verrà aggiunto quanto segue;Følgende vil bli lagt til;Se agregará lo siguiente
the following features have to be removed;moeten de volgende functies worden verwijderd;les fonctionnalités suivantes doivent être supprimées;die folgenden Funktionen müssen entfernt werden;följande funktioner måste tas bort;następujące funkcje muszą zostać usunięte;le seguenti funzionalità devono essere rimosse;følgende funksjoner må fjernes;las siguientes características deben ser eliminadas
is not possible for;niet mogelijk is voor;n'est pas possible pour;ist nicht möglich für;inte är möjligt för;nie jest możliwa dla;non è possibile per;ikke er mulig for;no es posible para
it will be reset to;het zal worden teruggezet naar;il sera réinitialisé à;es wird zurückgesetzt auf;det kommer att återställas till;zostanie zresetowane do;sarà reimpostato su;Det vil bli tilbakestilt til;se restablecerá a
The rules for this configuration have changed.;De regels van deze configuratie zijn veranderd.;Les règles pour cette configuration ont changé.;Die Vorgaben für diese Konfiguration haben sich geändert.;Reglerna för den här konfigurationen har ändrats.;Zasady tej konfiguracji uległy zmianie.;Le regole per questa configurazione sono cambiate.;Reglene for denne konfigurasjonen er endret.;Las reglas para esta configuración han cambiado.
To open this configuration, the following has to be removed:;Om deze configuratie te openen, moet het volgende worden verwijderd:;Pour ouvrir cette configuration, les éléments suivants doivent être supprimés :;Um diese Konfiguration zu öffnen, muss Folgendes entfernt werden:;För att öppna den här konfigurationen måste följande tas bort:;Aby otworzyć tę konfigurację, należy usunąć:;Per aprire questa configurazione, deve essere rimossa quanto segue:;Hvis du vil ?e denne konfigurasjonen, m?ølgende fjernes:;Para abrir esta configuración, se debe eliminar lo siguiente:
The value of;De waarde van;La valeur de;Der Wert von;Det värdet av;Wartość;Il valore di;Verdien av;El valor de
will be set from;wordt ingesteld vanaf;sera définie à partir de;wird eingestellt von;kommer att sättas från;zostanie ustawione od;sarà impostato da;vil bli satt fra;se establecerá desde
to;naar;à;bis;till;do;a;til;a
Everything mentioned above;Alles wat hierboven is genoemd;Tout ce qui est mentionné ci-dessus;Alles oben genannte;Allt som nämns ovan;Wszystko wymienione powyżej;Tutto quanto sopra menzionato;Alt nevnt ovenfor;Todo lo mencionado anteriormente
removed;verwijderd;retiré;aus der Konfiguration;bort;usunięte;rimosso;Fjernet;remoto
from the configuration. (This cannot be undone.);van de configuratie (dit kan niet worden teruggedraaid).;de la configuration. (Ceci ne peut pas être annulé).;entfernt (dies kann nicht rückgängig gemacht werden).;från konfigurationen. (Detta kan inte göras ogjort.);z konfiguracji. (Tego nie można cofnąć).;dalla configurazione. (Ciò non può essere annullato.);fra konfigurasjonen. (Dette kan ikke angres.);de la configuración. (Esto no se puede deshacer.)
Do you want to continue?;Wil je doorgaan?;Voulez-vous continuer ?;Wollen Sie fortfahren?;Vill du fortsätta?;Czy chcesz kontynuować?;Vuoi continuare?;Vil du fortsette?;¿Quieres continuar?
The configuration model has changed. To open this configuration, the following value(s) will change:;Het configuratiemodel is gewijzigd. Om deze configuratie te openen, moeten de volgende aanpassingen worden gemaakt:;Le modèle de configuration a changé. Pour ouvrir cette configuration, les valeurs suivantes doivent être modifiées :;Das Konfigurationsmodell wurde geändert. Um diese Konfiguration zu öffnen, werden die folgenden Anpassungen vorgenommen:;Konfigurationsmodellen har ändrats. För att öppna den här konfigurationen måste följande värde(n) ändras:;Zmienił się model konfiguracji. Aby otworzyć tę konfigurację, zmienią się następujące wartości:;Il modello di configurazione è cambiato. Per aprire questa configurazione, cambieranno i seguenti valori:;Konfigurasjonsmodellen er endret. Hvis du vil ?e denne konfigurasjonen, endres følgende verdi(er):;El modelo de configuración ha cambiado. Para abrir esta configuración, los siguientes valores cambiarán:
Contact your admin for more information.;Neem contact op met je admin voor meer informatie.;Contactez votre administrateur pour plus d'informations.;Für weitere Informationen wenden Sie sich bitte an den Administrator.;Kontakta din administratör för mer information.;Aby uzyskać więcej informacji, skontaktuj się z administratorem.;Contatta il tuo amministratore per ulteriori informazioni.;Kontakt administratoren for mer informasjon.;Póngase en contacto con su administrador para obtener más información.
Select;Selecteren;Sélectionnez;Auswählen;Välj;Wybierz;Seleziona;Velg;Seleccionar
Because the value of;Omdat de waarde van;Parce que la valeur de;Weil der Wert von;Eftersom värdet på;Ponieważ wartość;Poiché il valore di;Fordi verdien av;Porque el valor de
Customer reference;Klantreferentie;Référence client;Kundenreferenz;Kundreferens;Preferencja klienta;Riferimento del cliente;Referanse for kunder;Referencia de cliente
Create Contact;Contact aanmaken;Créer un contact;Kontakt erstellen;Skapa kontakt;Utwórz kontakt;Crea contatto;Opprett kontakt;Crear contacto
Full name;Volledige naam;Nom complet (par défaut);Vollständiger Name;Fullständigt namn;Imię i nazwisko;Nome completo;Fullt navn;Nombre completo
Preview:;Voorbeeld:;Aperçu:;Vorschau:;Förhandsgranska:;Podgląd:;Anteprima:;Forhåndsvisning:;Avance:
Hidden;Verborgen;Masqué;Verborgen;Dolda;Ukryty;Nascosto;Skjult;Oculto
Salutation;Begroeting;Salutation;Anrede;Hälsning;Zwrot grzecznościowy;Titolo di cortesia;Hilsen;Saludo
Save changes;Wijzigingen opslaan;Enregistrer les modifications;Änderungen speichern;Spara ändringar;Zapisz zmiany;Salva le modifiche;Lagre endringer;Guardar cambios
Message text;Berichttekst;Texte du message;Nachrichtentext;Meddelandetext;Treść wiadomości;Testo del messaggio;Meldingstekst;Texto del mensaje
Surname prefix;Achternaam voorvoegsel;Préfixe du nom;Namenszusatz;Prefix för efternamn;Prefiks nazwiska;Prefisso del cognome;Prefiks for etternavn;Prefijo del apellido
Deselect all;Deselecteer alles;Désélectionner tout;Alle abwählen;Avmarkera alla;wybrany/e obiekt/y;Deseleziona tutto;Fjern merkingen av alle;Deseleccionar todo
Value;Waarde;Valeur;Wert;Värde;Wartość;Valore;Verdi;Valor
State;Provincie;Région;Bundesland;Land;Kraj;Stato;Land;Estado
warning;waarschuwing;avertissement;Warnung;varning;ostrzeżenie;avvertimento;advarsel;advertencia
Delivery address;Bezorgadres;Adresse de livraison;Lieferadresse;Leveransadress;Adres dostawy;Indirizzo di consegna;Leveringsadresse;Dirección de entrega
Disabled;Uitgeschakeld;Désactivé;Deaktiviert;Inaktiverat;Wyłączony;Disabilitato;Ufør;Desactivado
Create CRM account;CRM account creëren;Créer un compte CRM;CRM Account erstellen;Skapa ett CRM-konto;Utwórz konto CRM;Crea un account CRM;Opprette CRM-konto;Crear cuenta CRM
Message type;Berichttype;Type de message;Nachrichtentyp;Meddelandetyp;Typ wiadomości;Tipo di messaggio;Meldings-type;Tipo de mensaje
Edit contact;Bewerk contact;Modifier le contact;Kontakt bearbeiten;Redigera kontakt;Edytuj kontakt;Modifica contatto;Redigere kontakt;Editar contacto
Select contact;Contact selecteren;Sélectionner le contact;Kontakt auswählen;Välj kontakt;Wybierz kontakt;Seleziona il contatto;Velg kontaktperson;Seleccione un contacto
Seller;Verkoper;Vendeur;Verkaüfer;Säljare;Sprzedawca;Venditore;Selger;Vendedor
Postal code;Postcode;Code postal;Postleitzahl;Postnummer;Kod pocztowy;Codice postale;Postnummer;Código Postal
Default contact;Standaardcontact;Contact par défaut;Standardkontakt;Standardkontakt;Kontakt domyślny;Contatto predefinito;Standard kontakt;Contacto predeterminado
E-mail;E-mail;E-mail;E-Mail;E-post;E-mail;E-mail;E-post;Correo electrónico
Add Message Bar; Berichtbalk toevoegen; Ajouter une barre de message; Nachrichtenleiste hinzufügen; Lägg till meddelanderad; Dodaj pasek wiadomości; Aggiungi barra messaggi; Legg til meldingslinje; Agregar barra de mensaje
Field;Veld;Champ;Feld;Fält;Pole;Campo;Felt;Campo
Contact info;Contactgegevens;Coordonnées;Kontaktdaten;Kontaktinformation;Informacje kontaktowe;Informazioni di contatto;Kontaktinformasjon;Información de contacto
General info;Algemene informatie;Informations générales;Allgemeine Informationen;Allmän information;Informacje ogólne;Informazioni generali;Generell info;Información general
Other;Overig;Autre;Andere;Annat;Inne;Altro;Annet;Otro
Relation type;Relatietype;Type de relation;Beziehungsart;Relationstyp;Typ relacji;Tipo di relazione;Relasjonstype;Tipo de relación
Required;Vereist;Obligatoire;Erforderlich;Obligatoriskt;Wymagane;Obbligatorio;P?evd;Requerido
All;Alle;Tout;Alle;Alla;Wszystko;Tutto;Alle;Todo
This change can be caused by an update to the configuration model or by a change in the parent configuration.;De verandering kan veroorzaakt zijn door een update in het configuratiemodel of door een verandering van de bovenliggende configuratie.;Ce changement peut être causé par une mise à jour du modèle de configuration ou par une modification de la configuration parente.;Die Änderung kann durch eine Aktualisierung im Konfigurationsmodell oder durch eine Änderung in der Parent-Konfiguration verursacht sein.;Den här ändringen kan orsakas av en uppdatering av konfigurationsmodellen eller av en ändring i den överordnade konfigurationen.;Ta zmiana może być spowodowana aktualizacją modelu konfiguracji lub zmianą konfiguracji nadrzędnej.;Questa modifica può essere causata da un aggiornamento del modello di configurazione o da una modifica nella configurazione principale.;Denne endringen kan skyldes en oppdatering av konfigurasjonsmodellen eller en endring i den overordnede konfigurasjonen.;Este cambio puede deberse a una actualización del modelo de configuración o a un cambio en la configuración principal.
Create contact;Maak contact aan;Créer un contact;Kontakt erstellen;Skapa kontakt;Utwórz kontakt;Crea contatto;Opprett kontakt;Crear contacto
Conflicting Linked Configurations;Conflicterende Gelinkte Configuraties;Configurations Liées Conflitantes;Konfliktierende Verknüpfte Konfigurationen;Konflikterande Länkade Konfigurationer;Konfliktujące Powiązane Konfiguracje;Configurazioni Collegate Conflittuali;Konflikterende Koblede Konfigurasjoner;Configuraciones Vinculadas Conflictivas
Enter a comment to describe this feature;Voer een opmerking in om deze functie te beschrijven;Entrez un commentaire pour décrire cette fonctionnalité;Geben Sie einen Kommentar ein, um diese Funktion zu beschreiben;Ange en kommentar för att beskriva denna funktion;Wprowadź komentarz, aby opisać tę funkcję;Inserisci un commento per descrivere questa funzionalità;Skriv en kommentar for å beskrive denne funksjonen;Ingrese un comentario para describir esta función
Valid number required;Geldig nummer vereist;Numéro valide requis;Gültige Nummer erforderlich;Giltigt nummer krävs;Wymagany prawidłowy numer;Numero valido richiesto;Gyldig nummer kreves;Número válido requerido
New username;Nieuwe gebruikersnaam;Nouveau nom d'utilisateur;Neuer Benutzername;Nytt användarnamn;Nowa nazwa użytkownika;Nuovo nome utente;Nytt brukernavn;Nuevo nombre de usuario
Total price including VAT;Totale prijs inclusief btw;Prix total incluant la TVA;Gesamtpreis einschließlich MwSt.;Totalt pris inklusive moms;Całkowita cena z VAT;Prezzo totale inclusa IVA;Totalpris inkludert merverdiavgift;Precio total incluyendo IVA
Operator is required;Operator is vereist;L'opérateur est requis;Operator ist erforderlich;Operatör krävs;Operator jest wymagany;Operatore richiesto;Operatør er påkrevd;Se requiere operador
Confirm new password;Bevestig nieuw wachtwoord;Confirmer le nouveau mot de passe;Neues Passwort bestätigen;Bekräfta nytt lösenord;Potwierdź nowe hasło;Conferma nuova password;Bekreft nytt passord;Confirmar nueva contraseña
Profile;Profiel;Profil;Profil;Profil;Profil;Profilo;Profil;Perfil
Discard changes;Veranderingen weggooien;Annuler les modifications;Änderungen verwerfen;Kasta bort ändringar;Odrzuć zmiany;Scarta le modifiche;Forkast endringer;Descartar cambios
Operator;Operator;Opérateur;Operator;Operatör;Operator;Operatore;Operatør;Operador
Select an alternative;Selecteer een alternatief;Sélectionnez une alternative;Wählen Sie eine Alternative;Välj ett alternativ;Wybierz alternatywę;Seleziona un'alternativa;Velg et alternativ;Selecciona una alternativa
Choose file;Kies bestand;Choisir un fichier;Datei auswählen;Välj fil;Wybierz plik;Scegli file;Velg fil;Elegir archivo
Open your authenticator app and add Elfsquad by scanning the QR Code below;Open je authenticator-app en voeg Elfsquad toe door de QR-code hieronder te scannen;Ouvrez votre application d'authentification et ajoutez Elfsquad en scannant le code QR ci-dessous;Öffnen Sie Ihre Authenticator-App und fügen Sie Elfsquad hinzu, indem Sie den QR-Code unten scannen;Öppna din autentiseringsapp och lägg till Elfsquad genom att skanna QR-koden nedan;Otwórz swoją aplikację uwierzytelniającą i dodaj Elfsquad, skanując kod QR poniżej;Apri la tua app di autenticazione e aggiungi Elfsquad scansionando il codice QR qui sotto;Åpne autentiseringsappen din og legg til Elfsquad ved å skanne QR-koden nedenfor;Abre tu aplicación de autenticación y añade Elfsquad escaneando el código QR a continuación
Total price excluding VAT;Totale prijs exclusief btw;Prix total hors TVA;Gesamtpreis ohne MwSt;Totalt pris exklusive moms;Całkowita cena bez VAT;Prezzo totale escluso IVA;Totalpris ekskl. mva;Precio total sin IVA
Current password;Huidig wachtwoord;Mot de passe actuel;Aktuelles Passwort;Nuvarande lösenord;Aktualne hasło;Password attuale;Nåværende passord;Contraseña actual
Value is required;Waarde is vereist;La valeur est requise;Wert ist erforderlich;Värde krävs;Wartość jest wymagana;Il valore è richiesto;Verdi er påkrevd;Se requiere valor
Submit;Indienen;Soumettre;Einreichen;Skicka in;Zatwierdź;Invia;Send inn;Enviar
Column name;Kolomnaam;Nom de colonne;Spaltenname;Kolumnnamn;Nazwa kolumny;Nome della colonna;Kolonnenavn;Nombre de columna
Back;Terug;Retour;Zurück;Tillbaka;Wstecz;Indietro;Tilbake;Atrás
Business Details;Bedrijfsdetails;Détails de l'entreprise;Unternehmensdetails;Företagsdetaljer;Szczegóły firmy;Dettagli aziendali;Forretningsdetaljer;Detalles del negocio
Change email;Wijzig e-mail;Changer l'email;E-Mail ändern;Ändra e-post;Zmień e-mail;Cambia email;Endre e-post;Cambiar correo electrónico
Add an extra security layer to your account;Voeg een extra beveiligingslaag toe aan uw account;Ajoutez une couche de sécurité supplémentaire à votre compte;Fügen Sie eine zusätzliche Sicherheitsstufe zu Ihrem Konto hinzu;Lägg till ett extra säkerhetslager till ditt konto;Dodaj dodatkową warstwę zabezpieczeń do swojego konta;Aggiungi un ulteriore livello di sicurezza al tuo account;Legg til et ekstra sikkerhetslag til kontoen din;Agrega una capa de seguridad adicional a tu cuenta
Created on;Gemaakt op;Créé le;Erstellt am;Skapad den;Utworzono;Creato il;Opprettet den;Creado el
Valid whole number required;Geldig geheel getal vereist;Nombre entier valide requis;Gültige ganze Zahl erforderlich;Giltigt heltal krävs;Wymagany prawidłowy liczba całkowita;Numero intero valido richiesto;Gyldig heltall kreves;Se requiere un número entero válido
Change username;Verander gebruikersnaam;Changer le nom d'utilisateur;Benutzernamen ändern;Ändra användarnamn;Zmień nazwę użytkownika;Cambia nome utente;Endre brukernavn;Cambiar nombre de usuario
Use same shipping address as your account's address;Gebruik hetzelfde verzendadres als het adres van uw account;Utilisez la même adresse de livraison que l'adresse de votre compte;Verwenden Sie dieselbe Lieferadresse wie die Adresse Ihres Kontos;Använd samma leveransadress som din kontoadress;Użyj tego samego adresu wysyłki, co adres Twojego konta;Usa lo stesso indirizzo di spedizione dell'indirizzo del tuo account;Bruk samme leveringsadresse som adressen til kontoen din;Utiliza la misma dirección de envío que la dirección de tu cuenta
Enter current password;Voer het huidige wachtwoord in;Entrez le mot de passe actuel;Geben Sie das aktuelle Passwort ein;Ange nuvarande lösenord;Wprowadź bieżące hasło;Inserisci la password attuale;Skriv inn nåværende passord;Ingrese la contraseña actual
Uploading...;Uploaden...;Téléchargement...;Hochladen...;Laddar upp...;Przesyłanie...;Caricamento...;Laster opp...;Subiendo...
New quotation has been created with number #;Nieuwe offerte is aangemaakt met nummer #;Une nouvelle citation a été créée avec le numéro #;Ein neues Angebot wurde mit der Nummer # erstellt;Ett nytt erbjudande har skapats med nummer #;Nowa oferta została utworzona z numerem #;È stata creata una nuova quotazione con il numero #;Ny tilbud er opprettet med nummer #;Se ha creado un nuevo presupuesto con el número #
Security;Beveiliging;Sécurité;Sicherheit;Säkerhet;Bezpieczeństwo;Sicurezza;Sikkerhet;Seguridad
Click to edit the CRM account.;Klik om de CRM-account te bewerken.;Cliquez pour modifier le compte CRM.;Klicken Sie, um das CRM-Konto zu bearbeiten.;Klicka för att redigera CRM-kontot.;Kliknij, aby edytować konto CRM.;Clicca per modificare l'account CRM.;Klikk for å redigere CRM-kontoen.;Haz clic para editar la cuenta CRM.
Use different shipping address;Gebruik een ander verzendadres;Utiliser une adresse de livraison différente;Andere Lieferadresse verwenden;Använd en annan leveransadress;Użyj innego adresu wysyłki;Usa un indirizzo di spedizione diverso;Bruk en annen leveringsadresse;Usar una dirección de envío diferente
Copy Configuration;Kopieer Configuratie;Copier Configuration;Konfiguration Kopieren;Kopiera Konfiguration;Kopiuj Konfigurację;Copia Configurazione;Kopier Konfigurasjon;Copiar Configuración
CRM account  with a similar company name already exists;CRM-account met een vergelijkbare bedrijfsnaam bestaat al;Un compte CRM avec un nom d'entreprise similaire existe déjà;Ein CRM-Konto mit einem ähnlichen Firmennamen existiert bereits;Ett CRM-konto med ett liknande företagsnamn finns redan;Konto CRM o podobnej nazwie firmy już istnieje;Esiste già un account CRM con un nome aziendale simile;CRM-konto med et lignende firmanavn eksisterer allerede;Ya existe una cuenta de CRM con un nombre de empresa similar
New password;Nieuw wachtwoord;Nouveau mot de passe;Neues Passwort;Nytt lösenord;Nowe hasło;Nuova password;Nytt passord;Nueva contraseña
Last name Prefix;Achternaam Voorvoegsel;Préfixe de nom de famille;Nachname Präfix;Efternamn Prefix;Prefiks nazwiska;Prefisso del cognome;Etternavn Prefiks;Prefijo de apellido
Select features for:;Selecteer functies voor:;Sélectionnez des fonctionnalités pour :;Funktionen auswählen für:;Välj funktioner för:;Wybierz funkcje dla:;Seleziona funzionalità per:;Velg funksjoner for:;Selecciona funciones para:
Comment;Opmerking;Commentaire;Kommentar;Kommentar;Komentarz;Commento;Kommentar;Comentario
Valid date required;Geldige datum vereist;Date valide requise;Gültiges Datum erforderlich;Giltigt datum krävs;Wymagana prawidłowa data;Data valida richiesta;Gyldig dato kreves;Se requiere una fecha válida
Unanswered mandatories;Onbeantwoorde verplichte velden;Obligatoires non répondus;Unbeantwortete Pflichtfelder;Obesvarade obligatoriska fält;Nieodpowiedziane obowiązkowe pola;Obbligatori non risposti;Ubesvarte obligatoriske felt;Obligatorios no respondidos
Column is required;Kolom is vereist;La colonne est requise;Spalte ist erforderlich;Kolumn är obligatorisk;Kolumna jest wymagana;La colonna è obbligatoria;Kolonne er påkrevd;La columna es obligatoria
No image;Geen afbeelding;Pas d'image;Kein Bild;Ingen bild;Brak obrazu;Nessuna immagine;Ingen bilde;Sin imagen
Account;Account;Compte;Konto;Konto;Konto;Account;Konto;Cuenta
Order history;Bestelgeschiedenis;Historique des commandes;Bestellverlauf;Beställningshistorik;Historia zamówień;Storico ordini;Bestillingshistorikk;Historial de pedidos
Activate two factor authentication;Activeer twee-factor-authenticatie;Activer l'authentification à deux facteurs;Zwei-Faktor-Authentifizierung aktivieren;Aktivera tvåfaktorsautentisering;Aktywuj uwierzytelnianie dwuskładnikowe;Attiva l'autenticazione a due fattori;Aktiver to-faktor-autentisering;Activar la autenticación de dos factores
Change password;Wachtwoord wijzigen;Changer le mot de passe;Passwort ändern;Ändra lösenord;Zmień hasło;Cambia password;Endre passord;Cambiar contraseña
Everything mentioned above will be removed from the configuration.;Alles wat hierboven is vermeld, zal uit de configuratie worden verwijderd.;Tout ce qui est mentionné ci-dessus sera supprimé de la configuration.;Alles, was oben erwähnt wurde, wird aus der Konfiguration entfernt.;Allt som nämnts ovan kommer att tas bort från konfigurationen.;Wszystko, co zostało wspomniane powyżej, zostanie usunięte z konfiguracji.;Tutto quanto sopra sarà rimosso dalla configurazione.;Alt som er nevnt ovenfor vil bli fjernet fra konfigurasjonen.;Todo lo mencionado anteriormente será eliminado de la configuración.
